store_address,latitude,longitude
Another McDonald's Location,39.04599,-84.244992
Another McDonald's Location,42.298737,-84.023994
Another McDonald's Location,46.851607,-96.862735
Another McDonald's Location,36.579128,-82.567509
Another McDonald's Location,42.379974,-88.064791
Another McDonald's Location,42.059766,-72.63304
Another McDonald's Location,42.421943,-76.517675
Another McDonald's Location,43.311281,-76.401406
Another McDonald's Location,42.007011,-88.144102
Another McDonald's Location,34.043062,-118.267227
Another McDonald's Location,40.268568,-74.542982
Another McDonald's Location,32.801862,-117.011688
Another McDonald's Location,40.332078,-79.742173
Another McDonald's Location,32.108218,-81.1555
Another McDonald's Location,44.696791,-73.481549
Another McDonald's Location,44.225086,-86.311117
Another McDonald's Location,37.656252,-82.783222
Another McDonald's Location,36.091816,-80.282003
Another McDonald's Location,32.865552,-97.174891
Another McDonald's Location,38.015319,-87.574459
Another McDonald's Location,42.769418,-84.601241
Another McDonald's Location,42.787304,-96.929699
Another McDonald's Location,47.611798,-122.337213
Another McDonald's Location,42.679691,-89.052117
Another McDonald's Location,40.44036,-86.125645
Another McDonald's Location,40.665562,-74.11721
Another McDonald's Location,40.862036,-111.898047
Another McDonald's Location,42.302929,-71.401031
Another McDonald's Location,36.450686,-83.570546
Another McDonald's Location,41.549802,-87.137101
Another McDonald's Location,39.923923,-75.142546
Another McDonald's Location,39.566621,-105.081744
Another McDonald's Location,35.761877,-89.544862
Another McDonald's Location,30.11213,-95.5534
Another McDonald's Location,42.591011,-71.204445
Another McDonald's Location,41.341304,-81.528729
Another McDonald's Location,30.503951,-90.496449
Another McDonald's Location,31.296223,-92.478091
Another McDonald's Location,42.26161,-85.17858
Another McDonald's Location,40.396351,-104.755601
Another McDonald's Location,33.933041,-84.333528
Another McDonald's Location,39.979957,-75.224318
Another McDonald's Location,32.203442,-98.241034
Another McDonald's Location,40.503768,-111.897481
Another McDonald's Location,39.924614,-75.169415
Another McDonald's Location,41.978969,-87.90666
Another McDonald's Location,34.765892,-84.929105
Another McDonald's Location,36.219859,-86.694515
Another McDonald's Location,29.914609,-90.046356
Another McDonald's Location,41.818218,-87.926128
Another McDonald's Location,41.884338,-83.394516
Another McDonald's Location,43.432888,-70.770388
Another McDonald's Location,41.05189,-86.217352
Another McDonald's Location,41.486576,-87.049501
Another McDonald's Location,43.285064,-77.790812
Another McDonald's Location,36.820205,-76.222769
Another McDonald's Location,42.458549,-83.134041
Another McDonald's Location,30.062794,-99.171041
Another McDonald's Location,44.83687,-68.741981
Another McDonald's Location,38.500947,-90.333435
Another McDonald's Location,40.859624,-73.157524
Another McDonald's Location,33.847451,-79.065487
Another McDonald's Location,36.764489,-83.704465
Another McDonald's Location,36.325693,-86.701685
Another McDonald's Location,42.192688,-71.198692
Another McDonald's Location,27.530987,-82.500878
Another McDonald's Location,28.033385,-80.621276
Another McDonald's Location,43.290721,-91.796785
Another McDonald's Location,40.138778,-74.707527
Another McDonald's Location,41.598701,-93.623332
Another McDonald's Location,38.834438,-77.432793
Another McDonald's Location,29.461432,-98.692083
Another McDonald's Location,36.334008,-94.1273
Another McDonald's Location,43.498415,-96.771771
Another McDonald's Location,37.298601,-78.393518
Another McDonald's Location,32.791945,-96.749945
Another McDonald's Location,34.097273,-118.366322
Another McDonald's Location,40.981301,-76.017684
Another McDonald's Location,40.122658,-87.778862
Another McDonald's Location,41.611826,-83.69836
Another McDonald's Location,43.347018,-89.030136
Another McDonald's Location,41.888872,-87.634316
Another McDonald's Location,42.588678,-87.856818
Another McDonald's Location,32.3869,-83.356154
Another McDonald's Location,40.072843,-74.124404
Another McDonald's Location,44.297825,-121.561872
Another McDonald's Location,37.549561,-122.04644
Another McDonald's Location,29.853445,-95.508695
Another McDonald's Location,35.80686,-86.396984
Another McDonald's Location,29.9867,-90.364055
Another McDonald's Location,42.531589,-96.374125
Another McDonald's Location,39.282004,-76.820579
Another McDonald's Location,33.541176,-86.82771
Another McDonald's Location,32.65885,-97.135108
Another McDonald's Location,40.825195,-73.908607
Another McDonald's Location,29.749788,-95.798871
Another McDonald's Location,42.884762,-78.854327
Another McDonald's Location,38.387781,-81.824262
Another McDonald's Location,29.322617,-96.097786
Another McDonald's Location,33.217073,-96.63385
Another McDonald's Location,35.171897,-89.793567
Another McDonald's Location,44.293813,-90.829492
Another McDonald's Location,35.075931,-106.74284
Another McDonald's Location,38.258175,-122.066214
Another McDonald's Location,41.601266,-93.626649
Another McDonald's Location,34.789757,-92.226858
Another McDonald's Location,33.624645,-111.893346
Another McDonald's Location,35.847249,-83.992084
Another McDonald's Location,32.220516,-110.804305
Another McDonald's Location,39.740594,-104.859771
Another McDonald's Location,40.72599,-73.494095
Another McDonald's Location,30.541517,-97.55941
Another McDonald's Location,43.604287,-73.275914
Another McDonald's Location,42.297031,-83.285141
Another McDonald's Location,34.98439,-118.947813
Another McDonald's Location,29.490344,-98.437043
Another McDonald's Location,44.49247,-88.106957
Another McDonald's Location,40.356142,-75.982787
Another McDonald's Location,32.878399,-96.962571
Another McDonald's Location,36.712414,-81.930315
Another McDonald's Location,37.606461,-122.398336
Another McDonald's Location,39.978156,-76.681949
Another McDonald's Location,27.638297,-80.448234
Another McDonald's Location,34.043932,-118.290668
Another McDonald's Location,36.857831,-83.870444
Another McDonald's Location,29.544181,-98.410596
Another McDonald's Location,36.16958,-95.341338
Another McDonald's Location,33.9132,-81.226645
Another McDonald's Location,41.9505,-87.882932
Another McDonald's Location,42.858452,-76.995106
Another McDonald's Location,41.852521,-72.661525
Another McDonald's Location,42.432426,-83.114601
Another McDonald's Location,45.752367,-87.082456
Another McDonald's Location,44.791851,-93.218506
Another McDonald's Location,42.743771,-71.15107
Another McDonald's Location,43.747561,-87.820897
Another McDonald's Location,34.623079,-98.434648
Another McDonald's Location,32.482322,-84.941197
Another McDonald's Location,37.770448,-90.446696
Another McDonald's Location,36.942049,-86.420825
Another McDonald's Location,38.782937,-83.562452
Another McDonald's Location,44.987556,-93.106148
Another McDonald's Location,27.917263,-82.800228
Another McDonald's Location,29.920259,-95.602465
Another McDonald's Location,42.532222,-78.449347
Another McDonald's Location,36.849776,-76.284015
Another McDonald's Location,40.812873,-85.83657
Another McDonald's Location,42.992191,-73.850074
Another McDonald's Location,26.60687,-81.650474
Another McDonald's Location,34.096462,-117.907351
Another McDonald's Location,38.177351,-85.821008
Another McDonald's Location,42.126247,-71.517998
Another McDonald's Location,41.578756,-87.599296
Another McDonald's Location,40.745361,-74.1903
Another McDonald's Location,33.378957,-86.807913
Another McDonald's Location,40.777866,-73.982452
Another McDonald's Location,36.711736,-82.791392
Another McDonald's Location,41.799622,-71.902709
Another McDonald's Location,33.93602,-87.835909
Another McDonald's Location,42.461662,-83.105309
Another McDonald's Location,38.555949,-121.409909
Another McDonald's Location,33.040501,-83.938828
Another McDonald's Location,36.139849,-85.63029
Another McDonald's Location,39.178494,-89.669117
Another McDonald's Location,37.694356,-97.270952
Another McDonald's Location,40.011547,-80.745423
Another McDonald's Location,34.773429,-92.360991
Another McDonald's Location,40.763363,-73.989243
Another McDonald's Location,40.522767,-111.944808
Another McDonald's Location,28.458137,-82.630919
Another McDonald's Location,33.289017,-111.838396
Another McDonald's Location,41.909232,-87.755182
Another McDonald's Location,45.610169,-122.680596
Another McDonald's Location,41.544708,-83.591495
Another McDonald's Location,38.830986,-104.704119
Another McDonald's Location,27.809842,-82.699504
Another McDonald's Location,35.842824,-101.973303
Another McDonald's Location,37.671893,-77.461404
Another McDonald's Location,45.66263,-89.376083
Another McDonald's Location,42.514168,-92.44623
Another McDonald's Location,40.645103,-75.488117
Another McDonald's Location,35.228663,-92.388608
Another McDonald's Location,30.266585,-91.992823
Another McDonald's Location,37.337227,-122.040985
Another McDonald's Location,43.40621,-85.803425
Another McDonald's Location,33.879954,-117.614433
Another McDonald's Location,42.743588,-73.918426
Another McDonald's Location,38.431174,-92.85828
Another McDonald's Location,29.768428,-95.17717
Another McDonald's Location,30.858396,-83.949921
Another McDonald's Location,38.187989,-85.516398
Another McDonald's Location,42.340611,-122.871387
Another McDonald's Location,40.284666,-79.389437
Another McDonald's Location,39.119311,-76.850562
Another McDonald's Location,44.608154,-86.100107
Another McDonald's Location,34.677215,-86.748785
Another McDonald's Location,31.779018,-106.461825
Another McDonald's Location,39.290433,-84.395799
