store_address,latitude,longitude
"Subway at 1800 Duke St, Ste 100",38.8043,-77.0611
"Subway at 1512 King St,",38.8062,-77.0565
"Subway at 2361 Eisenhower Ave,",38.8012,-77.0691
"Subway at 320 King Street, 1st Floor",38.8045,-77.0433
"Subway at 5836 N. Kings Hwy, Suite A, Huntington Station",38.7903,-77.0769
"Subway at 101 Independence Ave S. E., Library of Congress",38.8871,-77.0041
"Subway at Rayburn Bldg., 45 Independence Ave. SW, US House of Representatives",38.887,-77.0106
"Subway at 430 8th St SE,",38.8829,-76.9946
"Subway at 1100 New Jersey Ave SE, 1st Floor, Federal Gateway",38.877,-77.0037
"Subway at 50 Massachusetts Ave NE, Union Station",38.8971,-77.0064
"Subway at 525 School St SW,",38.884,-77.0196
"Subway at 501 D St NW,",38.8947,-77.0189
"Subway at 550 First Street NW, Law Center, Georgetown University",38.897,-77.0123
"Subway at 2154 Crystal Plaza Arcade, Store T11-A, Crystal City Shops @ 2100",38.8542,-77.05
"Subway at 2461 South Clark Street, Across from Hilton Hotel",38.8518,-77.0512
"Subway at 1664-E Crystal Square Arcade, Inside 1750 Cyrstal Drive, Crystal City Metro- Block 1750",38.8583,-77.0498
"Subway at 1100 S Hayes St, VC08, Pentagon City Mall",38.8618,-77.0592
"Subway at 3825 Jefferson Davis Hwy, Ste B, Potomac Yard Shopping Center",38.8389,-77.0516
"Subway at 429 L'Enfant Plaza SW, Suite 445, L'Enfant Plaza West",38.884,-77.0245
"Subway at 1000 Independence Ave SW, Secure Government Location",38.887,-77.0256
"Subway at 1101 4th Street SW, 4th Street Bldg, Unit 130, Waterfront Station",38.8779,-77.0178
"Subway at 4800 Nannie Helen Burroughs NE,",38.8992,-76.9335
"Subway at 4518 Benning Rd SE,",38.8893,-76.9368
"Subway at 3950 Minnesota Ave NE, Senator Square Shopping Ctr",38.8942,-76.9503
"Subway at 4825 Marlboro Pike, Coral Hills Shopping Center",38.8728,-76.9299
"Subway at 6262 Central Ave, Suite 13B, Addison Plaza",38.8848,-76.9005
"Subway at 1510 Belle View blvd, Belle View Shopping Center",38.7757,-77.0594
"Subway at 6678 Richmond Highway, Beacon Center Shopping Center",38.7736,-77.083
"Subway at Main Food Ct Box 2029, The Pentagon",38.8706,-77.0556
"Subway at 30182 Sussex Hwy, Unit 2, Laurel Crossings",38.5756,-75.5666
"Subway at 301 W Stein Hwy,",38.646,-75.6213
"Subway at 751 North Dual Highway, Wal-Mart #2460",38.6613,-75.5922
"Subway at 9577 Bridgeville Park Ctr, U E2, Bridgeville Park Center",38.7188,-75.5863
"Subway at 8600 Ocean Hwy, Ste 4, Tiger Mart",38.4292,-75.5651
"Subway at 3829 Mount Vernon Ave, MT Vernon Village",38.8409,-77.0627
"Subway at 2774 S Arlington Mill Dr, #51, The Village at Shirlington",38.8413,-77.0881
"Subway at 1500 Benning Rd NE, Hechinger Mall",38.9002,-76.9816
"Subway at 90 K Street NE, Suite 105, Sentinel Square I",38.9029,-77.0061
"Subway at 27430 Ocean Gateway, Valero Gas Station/C-Store",38.4171,-75.6616
"Subway at 501 W Salisbury Pkwy, Exxon Convenience",38.37,-75.6141
"Subway at 2300 N Salisbury Blvd, Ste G101, The Centre at Salisbury",38.3994,-75.5674
"Subway at 24948 Ocean Gateway, Mardela Goose Creek C-Store",38.4619,-75.7471
"Subway at Clairmont Center, 1012 S Salisbury Blvd",38.3507,-75.6019
"Subway at 107 S Fruitland Blvd, Texaco Gas Station",38.3219,-75.6201
"Subway at 1801 Autumn Grove Ct, Mobile Tiger Mart",38.3664,-75.5423
"Subway at 6 College Park Lane, Ste 15",38.7033,-75.4036
"Subway at 126 Broadkill Road,",38.7889,-75.3139
"Subway at 28544 DuPont Blvd, Unit 7",38.5875,-75.2984
"Subway at 16819 S. DuPont Hwy., Suite 100, Mattlind Square Shopping Ctr.",38.9289,-75.5662
"Subway at 11425 S.Dupont Hwy, N Rt 13 & Rt 12, Felton Goose Creek",39.0076,-75.5687
"Subway at 905 N Dupont Hwy, Ste 101",38.9279,-75.4332
"Subway at 5502 S Dupont Hwy, Ste 3",39.0727,-75.5533
"Subway at 1700 Highway One,",39.0833,-75.4578
"Subway at 1151 E Lebanon Rd, Unit A",39.1183,-75.5054
"Subway at 18922 Rehoboth Mall Blvd, Wal-Mart #2419",38.7273,-75.1322
"Subway at 19470 Coastal Highway, Unit 15",38.7196,-75.1172
"Subway at 26506 Victoria's Landing Road, Unit 2, Back Bay Park Center",38.6264,-75.1952
"Subway at 216 Atlantic Avenue, Millville Town Center",38.5471,-75.1079
"Subway at 36656 Lighthouse Road, Exxon Gas/C-Store",38.4726,-75.1059
"Subway at Bldg 421, Atlantic Street, AAFES Food Court",39.1267,-75.4797
"Subway at 991 Forest Street,",39.1586,-75.5425
"Subway at 23A Rehoboth Avenue, Subway/Beach Resort",38.7169,-75.0769
"Subway at 1200 Dupont Hwy, MLK Jr Student Center, Delaware State University",39.1884,-75.54
"Subway at 2146 Old Snow Hill Rd, Ste 6, East Town Plaza",38.0751,-75.5559
"Subway at 9010 Ocean Hwy, Goosecreek C-Store",38.124,-75.6894
"Subway at 6496 Lankford Hwy,",37.9459,-75.5407
"Subway at 30293 Mt Vernon Rd, Princess Anne Texaco C-Store",38.213,-75.7014
"Subway at 6448 Maddox Blvd,",37.9321,-75.3621
"Subway at 510 W Main St, Unit A",37.982,-75.8557
"Subway at 26036 Lankford Highway, Wal-Mart #4378",37.6859,-75.7236
"Subway at 25076 Lankford Hwy, Chesapeake Square",37.7016,-75.7142
"Subway at 4090 B Lankford Hwy,",37.5248,-75.834
"Subway at 10134 Old Ocean City Blvd,",38.3335,-75.2116
"Subway at 11416 Ocean Gateway, Wal-Mart #2560",38.3397,-75.1626
"Subway at 11001 Manklin Creek Road, Building D, Unit 2, Pennington Commons",38.3753,-75.1639
